+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1504]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[616]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[534]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1454]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1375]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[610]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[796]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1346]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1863]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                           clk600_to_clk300_ffs_i/expanded_sig2_reg[618]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1480]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1408]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1821]/D|
|        clk_600_clk_wiz_0 |        clk_300_clk_wiz_0 |                                                          clk600_to_clk300_ffs_i/expanded_sig2_reg[1635]/D|
